city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
Bethel,Bethel,AK,Alaska,2050,Bethel,60.7928,-161.7917,6273,56.8,shape,FALSE,TRUE,America/Anchorage,3,99559 99545,1840023353
Tuntutuliak,Tuntutuliak,AK,Alaska,2050,Bethel,60.3843,-162.6838,1072,2.8,shape,FALSE,FALSE,America/Nome,3,99680,1840023349
Nunapitchuk,Nunapitchuk,AK,Alaska,2050,Bethel,60.8772,-162.4615,999,52.7,shape,FALSE,TRUE,America/Nome,3,99641,1840023364
Quinhagak,Quinhagak,AK,Alaska,2050,Bethel,59.7511,-161.8992,989,80.6,shape,FALSE,TRUE,America/Anchorage,3,99655,1840023366
Toksook Bay,Toksook Bay,AK,Alaska,2050,Bethel,60.5333,-165.1557,874,11.6,shape,FALSE,TRUE,America/Nome,3,99637,1840023342
Eek,Eek,AK,Alaska,2050,Bethel,60.2164,-162.0331,624,327.9,shape,FALSE,TRUE,America/Nome,3,99578,1840023356
Aniak,Aniak,AK,Alaska,2050,Bethel,61.5817,-159.5451,564,34.8,shape,FALSE,TRUE,America/Anchorage,3,99557,1840023352
Napakiak,Napakiak,AK,Alaska,2050,Bethel,60.6923,-161.9822,557,113.8,shape,FALSE,TRUE,America/Anchorage,3,99634,1840023361
Napaskiak,Napaskiak,AK,Alaska,2050,Bethel,60.7018,-161.7616,517,71.5,shape,FALSE,TRUE,America/Anchorage,3,99559,1840023362
Kwigillingok,Kwigillingok,AK,Alaska,2050,Bethel,59.8767,-163.1715,470,6.9,shape,FALSE,FALSE,America/Nome,3,99622,1840023336
Kongiganak,Kongiganak,AK,Alaska,2050,Bethel,59.9858,-162.8544,470,13.9,shape,FALSE,FALSE,America/Nome,3,99559,1840023335
Akiachak,Akiachak,AK,Alaska,2050,Bethel,60.921,-161.4021,469,25.4,shape,FALSE,FALSE,America/Anchorage,3,99551,1840023339
Kipnuk,Kipnuk,AK,Alaska,2050,Bethel,59.9373,-164.0616,467,6.9,shape,FALSE,FALSE,America/Nome,3,99614,1840023334
Kasigluk,Kasigluk,AK,Alaska,2050,Bethel,60.8785,-162.5272,448,13.5,shape,FALSE,FALSE,America/Nome,3,99609,1840023333
Kwethluk,Kwethluk,AK,Alaska,2050,Bethel,60.7978,-161.4147,425,17.4,shape,FALSE,TRUE,America/Anchorage,3,99621,1840023358
Chefornak,Chefornak,AK,Alaska,2050,Bethel,60.155,-164.255,375,30.5,shape,FALSE,TRUE,America/Nome,3,99561,1840023354
Mekoryuk,Mekoryuk,AK,Alaska,2050,Bethel,60.3704,-166.267,327,14.3,shape,FALSE,TRUE,America/Nome,3,99630,1840023360
Tununak,Tununak,AK,Alaska,2050,Bethel,60.579,-165.2077,309,2.1,shape,FALSE,FALSE,America/Nome,3,99681,1840023350
Lower Kalskag,Lower Kalskag,AK,Alaska,2050,Bethel,61.5163,-160.3556,304,90.9,shape,FALSE,TRUE,America/Anchorage,3,99626,1840023359
Akiak,Akiak,AK,Alaska,2050,Bethel,60.9061,-161.2122,293,60.9,shape,FALSE,TRUE,America/Anchorage,3,99552,1840023351
Tuluksak,Tuluksak,AK,Alaska,2050,Bethel,61.105,-160.9493,278,35.5,shape,FALSE,FALSE,America/Anchorage,3,99679,1840023348
Upper Kalskag,Upper Kalskag,AK,Alaska,2050,Bethel,61.5416,-160.3337,225,26,shape,FALSE,FALSE,America/Anchorage,4,99607,1840023556
Newtok,Newtok,AK,Alaska,2050,Bethel,60.9341,-164.6386,181,64.3,shape,FALSE,FALSE,America/Nome,3,99559,1840023338
Atmautluak,Atmautluak,AK,Alaska,2050,Bethel,60.8622,-162.2858,147,91.3,shape,FALSE,FALSE,America/Nome,3,99559,1840023340
Nightmute,Nightmute,AK,Alaska,2050,Bethel,60.4874,-164.8195,145,0.1,shape,FALSE,TRUE,America/Nome,3,99690,1840023363
Oscarville,Oscarville,AK,Alaska,2050,Bethel,60.7288,-161.7728,114,14.1,shape,FALSE,FALSE,America/Anchorage,3,99559,1840023344
Chuathbaluk,Chuathbaluk,AK,Alaska,2050,Bethel,61.5746,-159.2489,93,7.7,shape,FALSE,TRUE,America/Anchorage,3,99557,1840023355
Sleetmute,Sleetmute,AK,Alaska,2050,Bethel,61.6516,-157.1251,81,0,shape,FALSE,FALSE,America/Anchorage,3,99668,1840023346
Goodnews Bay,Goodnews Bay,AK,Alaska,2050,Bethel,59.1271,-161.5753,73,14.7,shape,FALSE,TRUE,America/Anchorage,3,99589,1840023357
Crooked Creek,Crooked Creek,AK,Alaska,2050,Bethel,61.8439,-158.1082,65,0,shape,FALSE,FALSE,America/Anchorage,3,99575,1840023341
Stony River,Stony River,AK,Alaska,2050,Bethel,61.7937,-156.5861,34,4.8,shape,FALSE,FALSE,America/Anchorage,3,99557,1840023347
Lime Village,Lime Village,AK,Alaska,2050,Bethel,61.327,-155.3181,16,0,shape,FALSE,FALSE,America/Anchorage,3,99557,1840023337
Platinum,Platinum,AK,Alaska,2050,Bethel,58.978,-161.7185,8,0,shape,FALSE,TRUE,America/Anchorage,3,99651,1840000307
Red Devil,Red Devil,AK,Alaska,2050,Bethel,61.7735,-157.3461,4,0,shape,FALSE,FALSE,America/Anchorage,3,99656,1840023345
Mertarvik,Mertarvik,AK,Alaska,2050,Bethel,60.811,-164.4989,0,0,shape,FALSE,TRUE,America/Nome,5,99559,1840075197
King Salmon,King Salmon,AK,Alaska,2060,Bristol Bay,58.753,-156.5061,399,0.1,shape,FALSE,FALSE,America/Anchorage,3,99613,1840023272
Naknek,Naknek,AK,Alaska,2060,Bristol Bay,58.7847,-156.8966,394,1.8,shape,FALSE,FALSE,America/Anchorage,3,99633,1840023273
South Naknek,South Naknek,AK,Alaska,2060,Bristol Bay,58.6637,-156.9908,56,0.1,shape,FALSE,FALSE,America/Anchorage,3,99670,1840023274
Valdez,Valdez,AK,Alaska,2063,Chugach,61.0963,-146.2596,3966,7,shape,FALSE,TRUE,America/Anchorage,3,99686,1840023396
Cordova,Cordova,AK,Alaska,2063,Chugach,60.5347,-145.6087,2588,14.1,shape,FALSE,TRUE,America/Anchorage,3,99574,1840023402
Whittier,Whittier,AK,Alaska,2063,Chugach,60.7852,-148.6455,316,8,shape,FALSE,TRUE,America/Anchorage,3,99693,1840023397
Chenega,Chenega,AK,Alaska,2063,Chugach,60.0757,-148.0194,55,0.6,shape,FALSE,FALSE,America/Anchorage,3,99574,1840137228
Tatitlek,Tatitlek,AK,Alaska,2063,Chugach,60.8921,-146.6727,34,2.2,shape,FALSE,FALSE,America/Anchorage,3,99677,1840023400
Tazlina,Tazlina,AK,Alaska,2066,Copper River,62.0536,-145.4363,445,28.6,shape,FALSE,FALSE,America/Anchorage,3,99588 99573,1840023588
Glennallen,Glennallen,AK,Alaska,2066,Copper River,62.1278,-145.7693,438,1.8,shape,FALSE,FALSE,America/Anchorage,3,99588,1840023387
Copper Center,Copper Center,AK,Alaska,2066,Copper River,61.9845,-145.3544,345,8.7,shape,FALSE,FALSE,America/Anchorage,3,99573,1840023395
Nelchina,Nelchina,AK,Alaska,2066,Copper River,61.9989,-146.8111,198,1.9,shape,FALSE,FALSE,America/Anchorage,3,99588,1840023658
Mentasta Lake,Mentasta Lake,AK,Alaska,2066,Copper River,62.9867,-143.5191,181,0,shape,FALSE,FALSE,America/Anchorage,3,99780 99586,1840023391
Willow Creek,Willow Creek,AK,Alaska,2066,Copper River,61.8336,-145.1836,158,0,shape,FALSE,FALSE,America/Anchorage,3,99573,1840023597
Gakona,Gakona,AK,Alaska,2066,Copper River,62.3609,-145.2657,140,1.3,shape,FALSE,FALSE,America/Anchorage,3,99586,1840023386
Kenny Lake,Kenny Lake,AK,Alaska,2066,Copper River,61.6644,-144.8662,138,0,shape,FALSE,FALSE,America/Anchorage,3,99573,1840023389
Silver Springs,Silver Springs,AK,Alaska,2066,Copper River,62.0193,-145.3584,134,25.8,shape,FALSE,TRUE,America/Anchorage,4,99573,1840075105
Mendeltna,Mendeltna,AK,Alaska,2066,Copper River,62.1359,-146.5388,118,0,shape,FALSE,FALSE,America/Anchorage,3,99588,1840023682
Slana,Slana,AK,Alaska,2066,Copper River,62.6294,-143.567,85,0,shape,FALSE,FALSE,America/Anchorage,3,99586,1840023399
Chitina,Chitina,AK,Alaska,2066,Copper River,61.5276,-144.2991,81,0,shape,FALSE,FALSE,America/Anchorage,3,99566,1840023394
Gulkana,Gulkana,AK,Alaska,2066,Copper River,62.2155,-145.4449,67,0,shape,FALSE,FALSE,America/Anchorage,3,99588,1840023388
Chistochina,Chistochina,AK,Alaska,2066,Copper River,62.5921,-144.8136,42,0,shape,FALSE,FALSE,America/Anchorage,3,99586,1840023393
Tolsona,Tolsona,AK,Alaska,2066,Copper River,62.0844,-146.092,35,0,shape,FALSE,FALSE,America/Anchorage,3,99588,1840023663
Tonsina,Tonsina,AK,Alaska,2066,Copper River,61.5617,-145.0656,14,0,shape,FALSE,FALSE,America/Anchorage,3,99573,1840023401
Nabesna,Nabesna,AK,Alaska,2066,Copper River,62.4606,-143.0402,0,0,shape,FALSE,FALSE,America/Anchorage,3,99586,1840023403
Paxson,Paxson,AK,Alaska,2066,Copper River,63.011,-145.7312,0,0,shape,FALSE,FALSE,America/Anchorage,3,99737,1840023398
McCarthy,McCarthy,AK,Alaska,2066,Copper River,61.4539,-142.8648,0,0,shape,FALSE,FALSE,America/Anchorage,3,99566,1840023390
Chisana,Chisana,AK,Alaska,2066,Copper River,62.0946,-142.034,0,0,shape,FALSE,FALSE,America/Anchorage,3,99566,1840023392
Healy,Healy,AK,Alaska,2068,Denali,63.9454,-149.0151,911,0,shape,FALSE,FALSE,America/Anchorage,3,99743,1840023381
Denali Park,Denali Park,AK,Alaska,2068,Denali,63.5909,-148.7107,855,2,shape,FALSE,FALSE,America/Anchorage,3,99755 99729,1840023382
Anderson,Anderson,AK,Alaska,2068,Denali,64.3074,-149.1562,191,1.9,shape,FALSE,TRUE,America/Anchorage,3,99704 99744,1840023384
Cantwell,Cantwell,AK,Alaska,2068,Denali,63.379,-148.8158,136,0.1,shape,FALSE,FALSE,America/Anchorage,3,99729,1840023383
Ferry,Ferry,AK,Alaska,2068,Denali,64.0496,-148.9205,24,0,shape,FALSE,FALSE,America/Anchorage,3,99743,1840023692
