Incident_ID,Incident_Date,State,City_Or_County,__Victims_Injured,__Victims_Killed
2379499,"August 5, 2022",Ohio,Dayton,0,4
2426627,"September 29, 2022",Texas,McGregor,0,5
2319567,"June 2, 2022",Texas,Centerville,0,5
2227058,"February 5, 2022",Texas,Corsicana,0,7
2432893,"October 7, 2022",Texas,"Fort Worth",0,4
2361614,"July 16, 2022",Texas,Houston,0,4
2377338,"August 2, 2022",Florida,Orlando,0,4
2468162,"November 25, 2022",Georgia,Atlanta,0,0
2285267,"April 21, 2022",Arkansas,"Mountain View",0,4
2448366,"October 30, 2022",Colorado,Aurora,0,4
2452798,"November 4, 2022",Maryland,"La Plata",0,4
2410446,"September 9, 2022",Maryland,"Elk Mills",0,4
2313970,"May 27, 2022",Michigan,Stanwood,0,4
2379020,"August 4, 2022",Nebraska,Laurel,0,4
2318310,"June 1, 2022",Oklahoma,Tulsa,0,4
2439284,"October 9, 2022",Oklahoma,Henryetta,0,4
2447217,"October 27, 2022",Oklahoma,"Broken Arrow",0,7
2439423,"October 17, 2022",Virginia,Woodbridge,0,4
2323642,"June 7, 2022",Virginia,Portsmouth,0,4
2462457,"November 18, 2022",Virginia,Richmond,0,4
2283535,"April 20, 2022",Minnesota,Duluth,0,4
2444683,"October 21, 2022",Wisconsin,Hartland,0,4
2218159,"January 23, 2022",Wisconsin,Milwaukee,0,6
2243861,"February 28, 2022",California,Sacramento,0,4
2288842,"April 27, 2022",Mississippi,Biloxi,0,4
2434247,"October 9, 2022","South Carolina",Inman,0,5
2452673,"November 4, 2022",Florida,Orlando,1,4
2475546,"December 6, 2022",Georgia,Macon,1,3
2478664,"December 11, 2022",Illinois,Chicago,1,3
2252719,"March 12, 2022",Maryland,Baltimore,1,3
2215955,"January 19, 2022",Maryland,Baltimore,1,3
2400026,"August 28, 2022",Michigan,Detroit,1,3
2321772,"June 5, 2022",Michigan,Saginaw,1,3
2222557,"January 29, 2022",Missouri,"St. Louis",1,3
2464943,"November 20, 2022",Oklahoma,Hennessey,1,4
2217882,"January 23, 2022",California,Inglewood,1,4
2438482,"October 15, 2022",Pennsylvania,Pittsburgh,1,3
2445686,"October 25, 2022",Ohio,Hamilton,2,2
2447980,"October 28, 2022",Ohio,Toledo,2,2
2251416,"March 11, 2022",Ohio,Columbus,2,2
2360953,"July 16, 2022",Ohio,Columbus,2,2
2339761,"June 25, 2022",Texas,Houston,2,2
2296808,"May 7, 2022",Texas,Garland,2,2
2467661,"November 24, 2022",Texas,Houston,2,2
2399755,"August 28, 2022",Texas,Houston,2,3
2202727,"January 2, 2022",Texas,"San Antonio",2,2
2202976,"January 2, 2022",Texas,Corsicana,2,2
2431069,"October 5, 2022",Texas,Baytown,2,4
2487517,"December 23, 2022",Kansas,Wichita,2,2
2400434,"August 28, 2022",Oregon,Bend,2,2
2406042,"September 3, 2022",Alabama,Birmingham,2,2
2440211,"October 8, 2022",Alabama,Hurtsboro,2,2
2321440,"June 5, 2022",Arizona,Mesa,2,2
2255816,"March 17, 2022",Florida,"Fort Lauderdale",2,2
2465213,"November 22, 2022",Florida,"West Palm Beach",2,2
2321500,"June 4, 2022",Georgia,Macon,2,2
2370760,"July 27, 2022",Georgia,Macon,2,2
2483188,"December 16, 2022",Georgia,Valdosta,2,2
2406998,"September 5, 2022",Georgia,Hartwell,2,2
2362011,"July 17, 2022",Indiana,Greenwood,2,3
2411801,"September 10, 2022",Indiana,Plainfield,2,2
2263608,"March 25, 2022",Colorado,"Colorado Springs",2,2
2201677,"January 1, 2022",Colorado,Denver,2,2
2482288,"December 16, 2022",Illinois,Chicago,2,2
2443194,"October 23, 2022",Illinois,Chicago,2,3
2406651,"September 4, 2022",Illinois,Chicago,2,2
2285772,"April 23, 2022",Illinois,Chicago,2,2
2202001,"January 1, 2022",Illinois,Peoria,2,2
2468325,"November 26, 2022",Illinois,Chicago,2,2
2367157,"July 23, 2022",Illinois,Rockford,2,2
2259413,"March 21, 2022",Illinois,Chicago,2,2
2398004,"August 25, 2022",Kentucky,Henderson,2,2
2236857,"February 18, 2022",Maryland,"Temple Hills (Marlow Heights)",2,2
2373050,"July 29, 2022",Maryland,Baltimore,2,2
2324435,"June 7, 2022",Maryland,Baltimore,2,2
2325498,"June 9, 2022",Maryland,Smithsburg,2,3
2407734,"September 5, 2022",Missouri,"Kansas City",2,2
2252500,"March 13, 2022","New York",Rochester,2,2
2339866,"June 24, 2022",Virginia,Hopewell,2,2
2391353,"August 18, 2022",Virginia,Norfolk,2,3
2459150,"November 13, 2022",Virginia,Charlottesville,2,3
2257316,"March 19, 2022",Virginia,Norfolk,2,3
2241857,"February 25, 2022",Louisiana,"Baton Rouge",2,2
2406597,"September 4, 2022",Minnesota,"St. Paul",2,3
2328108,"June 11, 2022",Tennessee,Antioch,2,2
2291185,"April 29, 2022",Tennessee,Jackson,2,2
2417641,"September 18, 2022",Wisconsin,Kenosha,2,2
2397033,"August 24, 2022",Wisconsin,Milwaukee,2,2
2448361,"October 30, 2022",California,Covina,2,2
2355580,"July 10, 2022",California,Downey,2,3
